               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096586,            0.029209,            0.046635,           0.0031036,             0.98432,            0.099941,            0.032677,            0.044219,            0.015785,            0.027542,            0.070732,            0.003252,            0.003252
                   1,             0.05893,            0.024124,            0.041156,             0.67052,             0.33759,             0.25999,             0.10115,            0.032704,           0.0093862,            0.025889,            0.038559,           0.0044122,           0.0044122
                   2,            0.048365,            0.019454,            0.038976,             0.37172,             0.62049,             0.25648,             0.10517,            0.027492,           0.0078598,            0.025813,           0.0041854,           0.0033724,           0.0033724
