               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083111,            0.028514,            0.041477,             0.47178,             0.27464,              0.1457,             0.04673,            0.040348,            0.011917,            0.026641,             0.07037,           0.0032922,           0.0032922
                   1,            0.053868,            0.021088,            0.036917,             0.49018,             0.48245,              0.2829,             0.13675,            0.030284,           0.0082183,            0.025654,            0.040206,           0.0064615,           0.0064615
                   2,            0.051105,            0.016803,            0.036812,             0.37181,             0.46262,             0.19552,            0.068242,            0.041523,           0.0062839,            0.025236,           0.0098774,           0.0094659,           0.0094659
                   3,            0.046342,            0.014898,            0.036804,             0.16825,             0.61501,             0.32171,             0.17187,            0.028412,            0.005785,            0.024518,           0.0092575,           0.0092575,           0.0092575
                   4,            0.041671,             0.01334,            0.032007,             0.74038,             0.44695,             0.39376,             0.17413,            0.033081,           0.0052914,            0.019103,           0.0092575,           0.0092575,           0.0092575
                   5,            0.040132,            0.011936,            0.026514,             0.23861,             0.65472,             0.43795,             0.22506,            0.027064,           0.0056353,            0.018199,             0.00901,             0.00901,             0.00901
                   6,             0.03614,            0.011577,            0.024285,             0.39958,             0.89595,             0.54578,             0.30989,            0.028389,           0.0051732,              0.0148,           0.0087625,           0.0087625,           0.0087625
                   7,            0.037985,            0.011574,            0.023732,             0.40936,              0.9344,             0.54427,             0.31005,            0.024538,            0.005262,            0.014231,            0.008515,            0.008515,            0.008515
                   8,            0.034377,            0.011358,            0.022545,             0.44374,             0.99114,             0.56476,             0.35614,            0.020777,           0.0050063,            0.013988,           0.0082675,           0.0082675,           0.0082675
                   9,            0.033208,            0.011007,            0.021361,             0.46309,               0.957,             0.59667,             0.36928,            0.018965,           0.0047951,            0.012717,             0.00802,             0.00802,             0.00802
                  10,            0.032252,            0.010879,            0.020942,             0.87679,             0.64603,             0.70009,             0.49467,            0.017896,           0.0047439,            0.011168,           0.0077725,           0.0077725,           0.0077725
                  11,             0.02915,            0.010391,            0.018004,             0.60028,             0.71994,             0.75362,             0.52741,            0.017193,           0.0048201,            0.010346,            0.007525,            0.007525,            0.007525
                  12,            0.031352,            0.010395,            0.019203,             0.91329,             0.64788,             0.76159,             0.48675,            0.016917,           0.0047375,            0.008639,           0.0072775,           0.0072775,           0.0072775
                  13,            0.032141,           0.0098939,            0.018022,             0.87479,             0.68453,             0.72961,              0.4915,             0.01666,            0.004712,           0.0069555,             0.00703,             0.00703,             0.00703
