               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  14,              0.0285,           0.0099582,            0.015977,             0.96813,             0.72952,             0.79072,               0.557,            0.016537,           0.0047614,           0.0062067,           0.0067825,           0.0067825,           0.0067825
                  15,            0.030659,            0.010351,             0.01541,             0.95763,             0.72809,             0.80593,             0.59513,            0.015604,           0.0045668,           0.0056354,            0.006535,            0.006535,            0.006535
                  16,            0.028408,            0.010219,            0.013107,              0.8658,             0.87041,             0.94501,             0.67564,            0.015039,           0.0045262,           0.0054688,           0.0062875,           0.0062875,           0.0062875
                  17,            0.028152,            0.010431,            0.014165,             0.92247,              0.9445,              0.9757,             0.68196,            0.015039,           0.0045618,           0.0039742,             0.00604,             0.00604,             0.00604
                  18,            0.026719,           0.0097945,             0.01436,             0.91276,             0.95014,             0.97656,             0.63693,            0.016145,           0.0048195,           0.0039116,           0.0057925,           0.0057925,           0.0057925
                  19,            0.027954,           0.0099814,            0.012525,             0.94958,             0.99084,             0.98561,             0.70245,            0.014997,           0.0046715,           0.0024495,            0.005545,            0.005545,            0.005545
                  20,            0.027365,           0.0096849,           0.0095689,             0.94802,             0.98979,              0.9799,             0.71018,            0.015335,           0.0046066,           0.0020322,           0.0052975,           0.0052975,           0.0052975
                  21,            0.027518,            0.010079,            0.010902,             0.97707,             0.99449,             0.99351,             0.72938,            0.014783,           0.0046303,           0.0018145,             0.00505,             0.00505,             0.00505
                  22,             0.02758,           0.0098676,            0.011016,             0.97882,             0.99409,             0.99381,             0.69525,            0.016053,           0.0044402,           0.0012576,           0.0048025,           0.0048025,           0.0048025
                  23,            0.027164,           0.0097636,           0.0096345,             0.98128,             0.99438,             0.99395,             0.74618,            0.014082,            0.004392,           0.0009725,            0.004555,            0.004555,            0.004555
                  24,            0.025653,           0.0095099,           0.0076595,             0.98001,             0.98444,             0.99414,             0.73246,            0.014604,           0.0045529,          0.00097399,           0.0043075,           0.0043075,           0.0043075
                  25,            0.025481,           0.0094744,           0.0095423,             0.97819,             0.98749,             0.99392,             0.73296,            0.015319,            0.004484,          0.00094077,             0.00406,             0.00406,             0.00406
                  26,            0.025551,           0.0097598,           0.0090591,             0.97786,             0.98787,             0.99408,             0.73937,            0.014753,           0.0044156,          0.00079315,           0.0038125,           0.0038125,           0.0038125
                  27,            0.027339,           0.0093591,            0.009807,              0.9805,             0.97965,             0.99224,             0.74005,            0.013858,           0.0043018,            0.001321,            0.003565,            0.003565,            0.003565
                  28,            0.024647,           0.0092876,           0.0076494,             0.97988,             0.99419,             0.99356,             0.72119,            0.013759,            0.004394,          0.00076793,           0.0033175,           0.0033175,           0.0033175
                  29,            0.024596,           0.0095004,           0.0090038,             0.98764,             0.99019,             0.99358,             0.72914,            0.012976,           0.0043516,          0.00075417,             0.00307,             0.00307,             0.00307
                  30,            0.024393,           0.0095549,           0.0084227,             0.98833,             0.98913,             0.99359,             0.73907,            0.013673,           0.0043351,          0.00070819,           0.0028225,           0.0028225,           0.0028225
                  31,            0.024728,           0.0091441,           0.0075652,             0.98783,              0.9939,             0.99457,             0.75191,            0.013632,           0.0043056,          0.00054692,            0.002575,            0.002575,            0.002575
                  32,            0.023899,           0.0092684,           0.0071311,             0.98342,             0.99392,             0.99459,             0.75143,            0.012606,           0.0042699,          0.00054603,           0.0023275,           0.0023275,           0.0023275
                  33,            0.022353,           0.0089654,           0.0087292,             0.97956,             0.99228,             0.99432,             0.75127,            0.012639,           0.0042831,          0.00052478,             0.00208,             0.00208,             0.00208
                  34,            0.023133,           0.0088623,           0.0085749,              0.9902,             0.98104,             0.99448,             0.76602,            0.012451,           0.0041626,          0.00061324,           0.0018325,           0.0018325,           0.0018325
                  35,            0.021403,           0.0089563,           0.0082792,             0.98954,             0.99025,             0.99457,             0.76083,            0.012252,           0.0042191,          0.00038737,            0.001585,            0.001585,            0.001585
                  36,            0.021182,            0.008753,           0.0067079,             0.98304,             0.99346,             0.99427,             0.77313,            0.011865,           0.0041712,          0.00043406,           0.0013375,           0.0013375,           0.0013375
                  37,            0.020783,           0.0088021,           0.0061665,             0.98027,             0.99632,             0.99438,             0.76747,            0.011711,           0.0041357,          0.00043794,             0.00109,             0.00109,             0.00109
                  38,            0.021601,           0.0089885,           0.0059066,             0.98654,             0.99553,             0.99457,             0.77837,            0.011551,           0.0041294,          0.00034835,           0.0008425,           0.0008425,           0.0008425
                  39,            0.021818,           0.0088203,           0.0069618,             0.98983,             0.99132,             0.99462,             0.77835,            0.011493,           0.0041357,          0.00029328,            0.000595,            0.000595,            0.000595
